aarp 6714
abandon 3630
abandoned 3865
abandoning 6484
abb 5506
abc 1685
abcs 4283
abdullah 4785
ability 1751
aboard 3320
abortion 2133
abortions 2720
abraham 1945
abrams 6876
abroad 4623
absence 6007
absent 1174
absentee 4063
absolute 4038
absolutely 5340
abstain 150
absurd 4075
abu 2750
abuse 2802
abuses 2803
academy 6529
accent 6718
accept 4167
acceptable 6385
acceptance 3692
accepted 3468
accepting 3469
access 997
accident 2751
accidentally 3536
accidents 5086
accomplish 2632
accomplished 891
accomplishment 2543
account 151
accountability 6506
accountable 3735
accounting 5186
accounts 2386
accuracy 5460
accurate 4528
accurately 998
accusations 266
accused 267
accusing 4800
achieve 3736
achieved 2544
achievements 6610
acknowledge 4961
acknowledged 2694
aclu 4942
act 999
actblue 4601
acted 2134
acting 1595
action 0
actions 3268
active 712
actively 3089
activism 713
activist 4926
activists 714
activities 5016
activity 2883
actor 6087
acts 5835
actual 2994
adam 6193
adams 5371
add 649
added 1
adding 2471
addition 507
additional 4402
address 1338
addressed 3602
addresses 1339
addressing 5582
adds 2525
adjust 4195
adjusted 5461
adjustments 6005
admin 152
administration 2
administrations 1752
administrative 3737
administrator 6055
admire 4428
admission 2320
admit 341
admits 4529
admitted 2721
admitting 6626
ado 5643
adopt 6256
adopted 5801
adopting 6340
ads 342
adult 6304
adults 1596
advance 4284
advanced 6632
advantage 268
advantages 2387
adventure 6137
advertise 5148
advertisement 6868
advertisements 5969
advertiser 6047
advertisers 3196
advertising 153
advice 1753
advised 3555
adviser 2845
advisers 3631
advisor 508
advisory 6449
advocacy 5209
advocate 5404
advocates 3925
affair 2108
affairs 4854
affect 4185
affected 3738
affiliate 6220
affiliated 4429
affiliates 6515
affiliation 4949
afford 4068
afghan 5537
afghanistan 3975
aflcio 3706
afraid 650
africa 892
african 893
africanamerican 3906
afscme 6676
aft 6871
aftermath 1842
afternoon 1567
afterward 3683
age 1000
aged 4487
agencies 6059
agency 1645
agenda 715
agent 2604
agents 2995
ages 5953
aggressive 3632
aggressively 6206
agree 3006
agreed 894
agreement 1445
agreements 6090
agrees 4995
agriculture 6746
ahead 1946
ahmad 2781
ahmed 2770
ahnold 2202
aid 1947
aide 269
aided 1948
aides 2286
aim 1949
aimed 4609
aims 6620
aint 1646
air 2388
airborne 3907
aircraft 3537
aired 509
airing 5820
airplane 6645
airport 548
airwaves 6060
akin 6549
aksen 651
alabama 2623
alan 1175
alarm 1446
alas 5037
alaska 1447
albuquerque 6368
alert 3603
alerts 3090
alex 5285
alexander 2424
alexanders 2135
alhusainy 1950
ali 1800
alice 5802
alienated 3007
alive 1276
allawi 2884
allday 3908
allegation 4610
allegations 2287
alleged 2288
allegedly 2951
allegiance 3633
allegory 6770
allen 2846
alliance 5729
alliances 3
allied 2804
allies 895
allimportant 6775
allowed 1951
allowing 3008
ally 896
alongside 3926
alqaeda 3067
alqaida 4442
alsadr 6312
alternative 2351
alternatives 3356
altogether 4333
altsite 154
alzheimers 5984
amazing 3197
amazingly 5859
amazon 485
ambassador 2847
ambitions 4064
ambitious 104
ambush 4642
amendment 3217
amendments 5843
america 897
american 343
americanled 5467
americans 1393
americas 2321
amid 2782
amidst 6006
ammo 6394
ammunition 5854
amount 716
amounts 4334
amp 1001
amphibians 6842
ample 6713
analogy 1911
analyses 6761
analysis 344
analyst 630
analysts 5451
analyze 4611
analyzed 6427
anchor 2952
ancient 6552
andor 3436
andrea 3556
andrew 5687
andy 4335
anecdotal 155
anemic 6162
anew 6649
angeles 2099
anger 1721
angered 6728
angry 3110
angst 4950
ann 4253
annenberg 6098
anniversary 3009
announce 2084
announced 717
announcement 2588
announces 3068
announcing 4039
annoying 5909
annual 1647
anonymity 1597
anonymous 5063
answer 718
answered 1856
answering 4336
answers 270
anthony 4696
antiabortion 4458
antiamerican 1258
antibush 1857
anticipated 5896
antidean 6762
antigay 4459
antikerry 1858
antiwar 4
anxiety 6291
anymore 2100
anytime 6335
apologies 3538
apologists 6446
apologize 3634
apology 3604
appalling 6417
apparatus 5824
apparent 6188
apparently 1259
appeal 2605
appealed 5113
appealing 3866
appeals 3635
appearance 3408
appearances 5273
appeared 719
appearing 6022
appears 1260
applause 3867
apple 2136
apples 450
application 5341
applications 6715
applied 549
applies 6362
apply 4981
appointed 1448
appointment 4604
appreciated 5247
appreciation 4157
approach 898
approached 3557
approaches 4835
approaching 2389
appropriations 4403
approval 345
approve 5
approved 5794
approximately 1277
apr 6507
april 3198
aps 6818
apt 5940
arab 1952
arabia 3605
arabic 1953
arabs 1954
arafat 6719
architect 6221
archives 4530
archpundit 3460
arctic 3142
area 1955
areas 1002
arena 3868
arent 3143
arg 2223
argue 5068
argued 5087
argues 2425
arguing 3526
argument 3817
arguments 3111
ari 3303
aristide 6720
arizona 2545
arkansas 1722
arlen 5985
arlington 6405
arm 3321
armed 3437
armitage 5468
armor 6120
armored 6121
arms 3636
armstrong 4576
army 2805
armys 6163
arnold 1176
arrest 4040
arrested 3091
arrests 6326
arrive 6820
arrived 2289
arrives 1956
arrogance 899
arrogant 6099
art 4337
article 720
articles 1912
articulate 5750
artillery 4890
asap 156
ashamed 6540
ashcroft 3606
ashcrofts 4531
asia 1394
asian 5798
asked 900
asks 3409
aspect 4927
aspects 4421
aspirations 5775
ass 901
assassination 6265
assault 6
assembled 1957
assembly 3976
asserted 6862
assertion 5231
assertions 2137
asses 3493
assess 4466
assessment 1449
assessments 1859
asset 3069
assets 6313
asshole 2526
assholes 3607
assigned 4404
assignment 2672
assist 5405
assistance 3410
assistant 4069
associate 5088
associates 5017
association 4967
assume 510
assumed 721
assumes 4488
assuming 2138
assumption 4168
assumptions 4295
assure 3739
assured 4338
atlanta 157
atlantic 5382
atlarge 1450
atomic 5132
atrios 4254
atrocities 5038
attached 4903
attack 7
attacked 4096
attacking 346
attacks 1177
attempt 158
attempted 5674
attempting 3818
attempts 2228
attend 2885
attendance 5726
attended 4339
attending 2139
attention 550
attitude 8
attitudes 4951
attorney 1451
attorneys 3707
attract 3010
attractive 5216
attributed 2546
audience 1723
audio 6229
aug 9
august 2352
austin 5018
australia 6164
australian 3608
author 1178
authorities 5362
authority 902
authorization 5929
authorize 5232
authorized 5930
authors 4846
automated 3847
auxiliary 6574
average 1395
avoid 631
avoided 4532
avoiding 6061
await 6652
awaiting 5860
award 5963
awarded 2527
awards 5707
aware 3218
awareness 3609
awesome 4224
awful 6516
awol 1179
axelrod 3708
ayatollah 6662
baathist 1958
baby 4000
backed 1648
backers 551
background 722
backing 2673
backs 5372
bad 429
badly 632
baer 347
bag 1452
baghdad 1801
baghdads 5039
bags 4643
baker 6088
balance 2229
balanced 4612
bald 159
ball 4306
ballot 511
ballots 2426
ban 3507
band 3438
bandwagon 2140
bang 5942
bank 2353
banking 4750
banks 4644
banned 3637
banner 6740
banning 5438
bar 5314
barack 1180
barbara 2455
barbero 6592
barbour 6887
barely 3238
barend 1784
bargaining 4383
barnes 6890
barrage 1453
barrel 1396
barrels 1649
barrier 4340
barring 5623
barry 5009
bars 5019
bartlett 5187
base 1860
baseball 1724
based 552
baseline 4307
bases 2230
bashing 2456
basic 3968
basically 4943
basis 3269
basketball 2722
basra 6555
bastion 4613
batch 6081
battalion 5560
battle 10
battlefield 6457
battleground 1454
battlegrounds 3977
battles 4020
bay 2723
bayh 6253
bbc 3458
beach 3144
beacon 5342
bean 723
bear 4076
bears 4897
beasley 5811
beat 2806
beaten 2807
beating 2624
beats 6207
beauprez 4866
beautiful 6254
beauty 6096
bed 1861
beef 6349
beer 6389
beers 6621
began 1959
begging 3848
begin 1650
beginning 724
begins 2354
begun 2833
behalf 4697
behavior 957
beheading 3011
beings 3392
belief 5519
beliefs 4237
believed 1598
believes 11
believing 5286
bell 1651
belongs 5358
belt 6707
beltway 4491
ben 3439
bench 3558
beneath 3145
beneficiary 1455
benefit 553
benefits 1599
bennett 6853
benson 6653
berg 5542
